codigo_municipio_x,nome_municipio,codigo_uf,uf,regiao,chave,codigo_municipio_y,ano,pib_municipal,data,cambio,desemprego,ipca,pib,selic
1100015,ALTA FLORESTA D'OESTE,11.0,RO,Norte,ALTA FLORESTA D'OESTE__RO,,,,,,,,,
1100023,ARIQUEMES,11.0,RO,Norte,ARIQUEMES__RO,,,,,,,,,
1100031,CABIXI,11.0,RO,Norte,CABIXI__RO,,,,,,,,,
1100049,CACOAL,11.0,RO,Norte,CACOAL__RO,,,,,,,,,
1100056,CEREJEIRAS,11.0,RO,Norte,CEREJEIRAS__RO,,,,,,,,,
1100064,COLORADO DO OESTE,11.0,RO,Norte,COLORADO DO OESTE__RO,,,,,,,,,
1100072,CORUMBIARA,11.0,RO,Norte,CORUMBIARA__RO,,,,,,,,,
1100080,COSTA MARQUES,11.0,RO,Norte,COSTA MARQUES__RO,,,,,,,,,
1100098,ESPIGAO D'OESTE,11.0,RO,Norte,ESPIGAO D'OESTE__RO,,,,,,,,,
1100106,GUAJARA-MIRIM,11.0,RO,Norte,GUAJARA-MIRIM__RO,,,,,,,,,
1100114,JARU,11.0,RO,Norte,JARU__RO,,,,,,,,,
1100122,JI-PARANA,11.0,RO,Norte,JI-PARANA__RO,,,,,,,,,
1100130,MACHADINHO D'OESTE,11.0,RO,Norte,MACHADINHO D'OESTE__RO,,,,,,,,,
1100148,NOVA BRASILANDIA D'OESTE,11.0,RO,Norte,NOVA BRASILANDIA D'OESTE__RO,,,,,,,,,
1100155,OURO PRETO DO OESTE,11.0,RO,Norte,OURO PRETO DO OESTE__RO,,,,,,,,,
1100189,PIMENTA BUENO,11.0,RO,Norte,PIMENTA BUENO__RO,,,,,,,,,
1100205,PORTO VELHO,11.0,RO,Norte,PORTO VELHO__RO,,,,,,,,,
1100254,PRESIDENTE MEDICI,11.0,RO,Norte,PRESIDENTE MEDICI__RO,,,,,,,,,
1100262,RIO CRESPO,11.0,RO,Norte,RIO CRESPO__RO,,,,,,,,,
1100288,ROLIM DE MOURA,11.0,RO,Norte,ROLIM DE MOURA__RO,,,,,,,,,
1100296,SANTA LUZIA D'OESTE,11.0,RO,Norte,SANTA LUZIA D'OESTE__RO,,,,,,,,,
1100304,VILHENA,11.0,RO,Norte,VILHENA__RO,,,,,,,,,
1100320,SAO MIGUEL DO GUAPORE,11.0,RO,Norte,SAO MIGUEL DO GUAPORE__RO,,,,,,,,,
1100338,NOVA MAMORE,11.0,RO,Norte,NOVA MAMORE__RO,,,,,,,,,
1100346,ALVORADA D'OESTE,11.0,RO,Norte,ALVORADA D'OESTE__RO,,,,,,,,,
1100379,ALTO ALEGRE DOS PARECIS,11.0,RO,Norte,ALTO ALEGRE DOS PARECIS__RO,,,,,,,,,
1100403,ALTO PARAISO,11.0,RO,Norte,ALTO PARAISO__RO,,,,,,,,,
1100452,BURITIS,11.0,RO,Norte,BURITIS__RO,,,,,,,,,
1100502,NOVO HORIZONTE DO OESTE,11.0,RO,Norte,NOVO HORIZONTE DO OESTE__RO,,,,,,,,,
1100601,CACAULANDIA,11.0,RO,Norte,CACAULANDIA__RO,,,,,,,,,
1100700,CAMPO NOVO DE RONDONIA,11.0,RO,Norte,CAMPO NOVO DE RONDONIA__RO,,,,,,,,,
1100809,CANDEIAS DO JAMARI,11.0,RO,Norte,CANDEIAS DO JAMARI__RO,,,,,,,,,
1100908,CASTANHEIRAS,11.0,RO,Norte,CASTANHEIRAS__RO,,,,,,,,,
1100924,CHUPINGUAIA,11.0,RO,Norte,CHUPINGUAIA__RO,,,,,,,,,
1100940,CUJUBIM,11.0,RO,Norte,CUJUBIM__RO,,,,,,,,,
1101005,GOVERNADOR JORGE TEIXEIRA,11.0,RO,Norte,GOVERNADOR JORGE TEIXEIRA__RO,,,,,,,,,
1101104,ITAPUA DO OESTE,11.0,RO,Norte,ITAPUA DO OESTE__RO,,,,,,,,,
1101203,MINISTRO ANDREAZZA,11.0,RO,Norte,MINISTRO ANDREAZZA__RO,,,,,,,,,
1101302,MIRANTE DA SERRA,11.0,RO,Norte,MIRANTE DA SERRA__RO,,,,,,,,,
1101401,MONTE NEGRO,11.0,RO,Norte,MONTE NEGRO__RO,,,,,,,,,
1101435,NOVA UNIAO,11.0,RO,Norte,NOVA UNIAO__RO,,,,,,,,,
1101450,PARECIS,11.0,RO,Norte,PARECIS__RO,,,,,,,,,
1101468,PIMENTEIRAS DO OESTE,11.0,RO,Norte,PIMENTEIRAS DO OESTE__RO,,,,,,,,,
1101476,PRIMAVERA DE RONDONIA,11.0,RO,Norte,PRIMAVERA DE RONDONIA__RO,,,,,,,,,
1101484,SAO FELIPE D'OESTE,11.0,RO,Norte,SAO FELIPE D'OESTE__RO,,,,,,,,,
1101492,SAO FRANCISCO DO GUAPORE,11.0,RO,Norte,SAO FRANCISCO DO GUAPORE__RO,,,,,,,,,
1101500,SERINGUEIRAS,11.0,RO,Norte,SERINGUEIRAS__RO,,,,,,,,,
1101559,TEIXEIROPOLIS,11.0,RO,Norte,TEIXEIROPOLIS__RO,,,,,,,,,
1101609,THEOBROMA,11.0,RO,Norte,THEOBROMA__RO,,,,,,,,,
1101708,URUPA,11.0,RO,Norte,URUPA__RO,,,,,,,,,
1101757,VALE DO ANARI,11.0,RO,Norte,VALE DO ANARI__RO,,,,,,,,,
1101807,VALE DO PARAISO,11.0,RO,Norte,VALE DO PARAISO__RO,,,,,,,,,
1200013,ACRELANDIA,12.0,AC,Norte,ACRELANDIA__AC,,,,,,,,,
1200054,ASSIS BRASIL,12.0,AC,Norte,ASSIS BRASIL__AC,,,,,,,,,
1200104,BRASILEIA,12.0,AC,Norte,BRASILEIA__AC,,,,,,,,,
1200138,BUJARI,12.0,AC,Norte,BUJARI__AC,,,,,,,,,
1200179,CAPIXABA,12.0,AC,Norte,CAPIXABA__AC,,,,,,,,,
1200203,CRUZEIRO DO SUL,12.0,AC,Norte,CRUZEIRO DO SUL__AC,,,,,,,,,
1200252,EPITACIOLANDIA,12.0,AC,Norte,EPITACIOLANDIA__AC,,,,,,,,,
1200302,FEIJO,12.0,AC,Norte,FEIJO__AC,,,,,,,,,
1200328,JORDAO,12.0,AC,Norte,JORDAO__AC,,,,,,,,,
1200336,MANCIO LIMA,12.0,AC,Norte,MANCIO LIMA__AC,,,,,,,,,
1200344,MANOEL URBANO,12.0,AC,Norte,MANOEL URBANO__AC,,,,,,,,,
1200351,MARECHAL THAUMATURGO,12.0,AC,Norte,MARECHAL THAUMATURGO__AC,,,,,,,,,
1200385,PLACIDO DE CASTRO,12.0,AC,Norte,PLACIDO DE CASTRO__AC,,,,,,,,,
1200393,PORTO WALTER,12.0,AC,Norte,PORTO WALTER__AC,,,,,,,,,
1200401,RIO BRANCO,12.0,AC,Norte,RIO BRANCO__AC,,,,,,,,,
1200427,RODRIGUES ALVES,12.0,AC,Norte,RODRIGUES ALVES__AC,,,,,,,,,
1200435,SANTA ROSA DO PURUS,12.0,AC,Norte,SANTA ROSA DO PURUS__AC,,,,,,,,,
1200450,SENADOR GUIOMARD,12.0,AC,Norte,SENADOR GUIOMARD__AC,,,,,,,,,
1200500,SENA MADUREIRA,12.0,AC,Norte,SENA MADUREIRA__AC,,,,,,,,,
1200609,TARAUACA,12.0,AC,Norte,TARAUACA__AC,,,,,,,,,
